Day,Date,PageViews,Sessions,Visitors,NewVisitors
Saturday,2021-10-09,62,46,43,37
Sunday,2021-10-10,66,54,52,47
Monday,2021-10-11,73,52,39,31
Tuesday,2021-10-12,92,63,59,49
Wednesday,2021-10-13,129,80,61,50
Thursday,2021-10-14,246,185,163,147
Friday,2021-10-15,190,137,118,101
Saturday,2021-10-16,102,61,56,46
Sunday,2021-10-17,102,73,68,54
Monday,2021-10-18,115,76,70,57
Tuesday,2021-10-19,203,137,110,91
Wednesday,2021-10-20,438,354,316,301
Thursday,2021-10-21,157,112,101,82
Friday,2021-10-22,124,95,72,58
Saturday,2021-10-23,77,55,48,35
Sunday,2021-10-24,59,43,37,30
Monday,2021-10-25,138,108,90,69
Tuesday,2021-10-26,84,70,60,50
Wednesday,2021-10-27,108,72,62,52
Thursday,2021-10-28,87,47,45,40
Friday,2021-10-29,95,67,59,41
Saturday,2021-10-30,56,45,43,38
Sunday,2021-10-31,27,19,19,14
Monday,2021-11-01,64,52,42,35
Tuesday,2021-11-02,75,67,51,43
Wednesday,2021-11-03,86,53,48,39
Thursday,2021-11-04,59,42,40,31
Friday,2021-11-05,56,38,33,29
Saturday,2021-11-06,47,40,38,35
Sunday,2021-11-07,48,42,37,28
Monday,2021-11-08,65,49,42,34
Tuesday,2021-11-09,69,44,39,30
Wednesday,2021-11-10,57,48,36,29
Thursday,2021-11-11,103,72,59,48
Friday,2021-11-12,94,67,59,47
Saturday,2021-11-13,85,46,37,31
Sunday,2021-11-14,78,50,46,36
Monday,2021-11-15,57,45,44,39
Tuesday,2021-11-16,53,43,39,30
Wednesday,2021-11-17,67,49,41,32
Thursday,2021-11-18,168,131,119,101
Friday,2021-11-19,254,215,188,172
Saturday,2021-11-20,556,399,356,325
Sunday,2021-11-21,504,322,284,259
Monday,2021-11-22,251,193,161,136
Tuesday,2021-11-23,169,125,116,99
Wednesday,2021-11-24,154,90,83,69
Thursday,2021-11-25,147,91,85,63
Friday,2021-11-26,143,99,86,71
Saturday,2021-11-27,109,67,62,53
Sunday,2021-11-28,134,78,75,65
Monday,2021-11-29,206,148,134,127
Tuesday,2021-11-30,102,66,59,53
Wednesday,2021-12-01,94,50,46,41
Thursday,2021-12-02,89,57,56,46
Friday,2021-12-03,68,50,49,42
Saturday,2021-12-04,68,48,45,40
Sunday,2021-12-05,52,46,38,33
Monday,2021-12-06,82,61,54,43
Tuesday,2021-12-07,67,42,39,28
Wednesday,2021-12-08,241,193,183,164
Thursday,2021-12-09,209,155,140,126
Friday,2021-12-10,98,69,64,51
Saturday,2021-12-11,72,52,47,36
Sunday,2021-12-12,33,29,25,20
Monday,2021-12-13,89,70,60,53
Tuesday,2021-12-14,90,68,59,49
Wednesday,2021-12-15,63,47,45,38
Thursday,2021-12-16,49,40,39,32
Friday,2021-12-17,48,32,31,29
Saturday,2021-12-18,53,39,37,33
Sunday,2021-12-19,31,27,22,15
Monday,2021-12-20,40,36,35,32
Tuesday,2021-12-21,275,195,181,167
Wednesday,2021-12-22,82,62,51,39
Thursday,2021-12-23,62,39,34,26
Friday,2021-12-24,84,38,34,26
Saturday,2021-12-25,53,35,32,26
Sunday,2021-12-26,52,30,27,21
Monday,2021-12-27,54,34,30,26
Tuesday,2021-12-28,72,56,53,47
Wednesday,2021-12-29,61,38,36,32
Thursday,2021-12-30,62,48,46,41
Friday,2021-12-31,45,32,28,24
Saturday,2022-01-01,60,37,31,25
Sunday,2022-01-02,38,28,22,18
Monday,2022-01-03,77,50,45,39
Tuesday,2022-01-04,63,41,36,31
Wednesday,2022-01-05,62,40,37,30
Thursday,2022-01-06,67,52,49,42
Friday,2022-01-07,92,67,59,53
Saturday,2022-01-08,60,40,38,29
Sunday,2022-01-09,262,170,146,144
Monday,2022-01-10,131,92,79,63
Tuesday,2022-01-11,407,291,249,229
Wednesday,2022-01-12,239,167,130,107
Thursday,2022-01-13,189,139,100,91
Friday,2022-01-14,171,141,125,104
Saturday,2022-01-15,97,64,59,45
Sunday,2022-01-16,91,71,63,54
Monday,2022-01-17,723,502,404,381
Tuesday,2022-01-18,302,211,166,132
Wednesday,2022-01-19,165,93,78,52
Thursday,2022-01-20,161,122,104,86
Friday,2022-01-21,108,85,66,49
Saturday,2022-01-22,143,114,107,94
Sunday,2022-01-23,86,55,46,35
Monday,2022-01-24,96,70,56,42
Tuesday,2022-01-25,73,59,54,44
Wednesday,2022-01-26,74,58,54,49
Thursday,2022-01-27,74,56,49,40
Friday,2022-01-28,167,136,118,110
Saturday,2022-01-29,73,54,48,34
Sunday,2022-01-30,109,73,66,58
Monday,2022-01-31,112,71,61,54
Tuesday,2022-02-01,123,92,80,67
Wednesday,2022-02-02,64,46,39,33
Thursday,2022-02-03,98,50,45,36
Friday,2022-02-04,77,44,38,34
Saturday,2022-02-05,36,28,25,17
Sunday,2022-02-06,110,55,44,32
Monday,2022-02-07,71,51,49,37
Tuesday,2022-02-08,202,161,155,146
Wednesday,2022-02-09,123,91,78,59
Thursday,2022-02-10,80,64,57,48
Friday,2022-02-11,67,41,36,31
Saturday,2022-02-12,38,34,34,27
Sunday,2022-02-13,75,51,43,33
Monday,2022-02-14,55,40,37,31
Tuesday,2022-02-15,78,56,54,46
Wednesday,2022-02-16,135,85,79,70
Thursday,2022-02-17,90,56,45,34
Friday,2022-02-18,71,40,35,29
Saturday,2022-02-19,83,62,57,53
Sunday,2022-02-20,74,42,37,31
Monday,2022-02-21,81,59,55,45
Tuesday,2022-02-22,72,40,39,30
Wednesday,2022-02-23,83,50,48,39
Thursday,2022-02-24,75,55,49,45
Friday,2022-02-25,40,30,27,22
Saturday,2022-02-26,66,47,46,42
Sunday,2022-02-27,40,37,36,33
Monday,2022-02-28,68,46,41,37
Tuesday,2022-03-01,52,38,34,31
Wednesday,2022-03-02,79,63,59,53
Thursday,2022-03-03,65,48,42,37
Friday,2022-03-04,43,30,27,20
